Recipe Name,Ingredients' Name,Ingredient List,Product Contains,Product May Contain,Origin,Recipe Brand,Week Start Day
'Cheesy' Grilled Capsicum Gnocchi with Almonds and Vegan Cheddar,Almonds Slivered Nuts,Almonds,Almond,"Brazil Nut, Cashew, Crustacean, Egg, Fish, Gluten, Hazelnut, Lupin, Macadamia, Milk, Mollusc, Peanut, Pecan, Pine Nut, Pistachio, Sesame, Soy, Sulphites, Walnut, Wheat",100,ms,29/06/2026
'Cheesy' Grilled Capsicum Gnocchi with Almonds and Vegan Cheddar,Baby Spinach Leaves,Baby Spinach Leaves,,,100,ms,29/06/2026
'Cheesy' Grilled Capsicum Gnocchi with Almonds and Vegan Cheddar,Dried Oregano,Oregano,,"Almond, Brazil Nut, Cashew, Crustacean, Egg, Fish, Gluten, Hazelnut, Lupin, Macadamia, Milk, Mollusc, Peanut, Pecan, Pine Nut, Pistachio, Sesame, Soy, Sulphites, Walnut, Wheat",0,ms,29/06/2026
'Cheesy' Grilled Capsicum Gnocchi with Almonds and Vegan Cheddar,Garlic Cloves Skin On,Garlic,,,0,ms,29/06/2026
'Cheesy' Grilled Capsicum Gnocchi with Almonds and Vegan Cheddar,Gnocchi Pasta,"Potato Mash (75%) {Water, Potato Flake (34%) [Potatoes (99%), Stabiliser (450), Preservative (222) (Sulphites)], Potato Starch (6%)}, Wheat Flour, Rice Flour, Salt, Pepper
Potato Puree (80%) (Water, Potato Flakes), Wheat Flour, Salt, Natural Flavourings, Rice Flour, Food Acid (270), Preservative (200)","Gluten, Sulphites, Wheat","Cashew, Peanut, Pine Nut",24,ms,29/06/2026
'Cheesy' Grilled Capsicum Gnocchi with Almonds and Vegan Cheddar,Gnocchi Pertutti Pasta,"Potato Mash (75%) {Water, Potato Flakes (34%) [Potatoes (99%), Emulsifier (471), Stabiliser (450), Antioxidants (330, 304), Preservative (222) (Sulphite)], Potato Starch (6%), Wheat Flour, Salt, Pepper","Gluten, Sulphites, Wheat","Cashew, Peanut, Pine Nut",24,ms,29/06/2026
'Cheesy' Grilled Capsicum Gnocchi with Almonds and Vegan Cheddar,Onion Brown,Onion,,,100,ms,29/06/2026
'Cheesy' Grilled Capsicum Gnocchi with Almonds and Vegan Cheddar,Red Capsicum,Red Capsicum,,,100,ms,29/06/2026
'Cheesy' Grilled Capsicum Gnocchi with Almonds and Vegan Cheddar,Tomato Paste Sachets,"Tomato Paste (98%), Salt, Food Acid (Citric)",,,0,ms,29/06/2026
'Cheesy' Grilled Capsicum Gnocchi with Almonds and Vegan Cheddar,Tomatoes Diced,"Diced Tomatoes (61%), Tomato Juice",,,0,ms,29/06/2026
'Cheesy' Grilled Capsicum Gnocchi with Almonds and Vegan Cheddar,Vegan Cheddar-Style Shreds Cheese,"Water, Coconut Oil (21%) (Non-Hydrogenated), Starch, Modified Starch (E1404, E1450), Sea Salt, Vegan Cheddar Flavour, Olive Extract, Colour: Beta Carotene",,"Almond, Brazil Nut, Cashew, Crustacean, Egg, Fish, Gluten, Hazelnut, Lupin, Macadamia, Milk, Mollusc, Peanut, Pecan, Pine Nut, Pistachio, Sesame, Soy, Sulphites, Walnut, Wheat",0,ms,29/06/2026
'Green Goddess' Falafel Bowls with Couscous Tabouleh and Pistachios,Avocado,Avocado,,,0,ms,06/07/2026
'Green Goddess' Falafel Bowls with Couscous Tabouleh and Pistachios,Couscous,"Durum Wheat Semolina
","Gluten, Wheat","Almond, Brazil Nut, Cashew, Crustacean, Egg, Fish, Hazelnut, Lupin, Macadamia, Milk, Mollusc, Peanut, Pecan, Pine Nut, Pistachio, Sesame, Soy, Sulphites, Walnut",0,ms,06/07/2026
'Green Goddess' Falafel Bowls with Couscous Tabouleh and Pistachios,Cucumber Lebanese,Lebanese Cucumber,,,100,ms,06/07/2026
'Green Goddess' Falafel Bowls with Couscous Tabouleh and Pistachios,Falafel Green,"Chickpea (46%), Onion, Chickpea Flour (6%), Canola Oil, Garlic, Coriander, Corn Starch, Parsley, Mint, Salt, Baking Powder (Contains Emulsifiers (450, 500)), Spinach, Preservative (202), Black Pepper, Chilli Flakes, Coriander Ground, Cumin Ground",,"Gluten, Milk, Sesame, Soy",91,ms,06/07/2026
'Green Goddess' Falafel Bowls with Couscous Tabouleh and Pistachios,Garlic Cloves Skin On,Garlic,,,0,ms,06/07/2026
'Green Goddess' Falafel Bowls with Couscous Tabouleh and Pistachios,Mint,Mint,,,100,ms,06/07/2026
'Green Goddess' Falafel Bowls with Couscous Tabouleh and Pistachios,Parsley Continental,Parsley,,,100,ms,06/07/2026
'Green Goddess' Falafel Bowls with Couscous Tabouleh and Pistachios,Pistachios Nuts,Pistachios,Pistachio,"Almond, Brazil Nut, Cashew, Crustacean, Egg, Fish, Gluten, Hazelnut, Lupin, Macadamia, Milk, Mollusc, Peanut, Pecan, Pine Nut, Sesame, Soy, Sulphites, Walnut, Wheat",0,ms,06/07/2026
'Green Goddess' Falafel Bowls with Couscous Tabouleh and Pistachios,Tomatoes Salad,Tomato,,,100,ms,06/07/2026
10-Min Malaysian Chicken and Cashew Curry with Jasmine Rice and Coriander,Baby Spinach Leaves,Baby Spinach Leaves,,,100,ms,08/06/2026
